Hanzi,Pinyin,Nghĩa tiếng Việt
父亲,fu4qin1,"phụ thân , cha , ba"
亲人,qin1ren2,Người thân
亲,(v),"kiss , hôn"
老爸,lao3ba4,"ba , cha , bố"
母亲,mu3qin1,"Mẫu thân , mẹ , má"
老妈,lao3ma1,"mẹ , má"
母老虎,mu3lao3hu3,"cọp cái , cọp mẹ / chỉ người phụ nữ dữ"
爷爷,ye2ye,ông nội ( gia gia )
奶奶,nai3nai,bà nội
奶,nai3,sữa
酸奶,suan1nai3,sữa chua
喝,he1,uống
外公,wai4gong1,( ngoại công ) ông ngoại
外婆,wai4po2,( ngoại bà ) Bà ngoại
外人,wai4ren2,người ngoài
外边,wai4bian,bên ngoài
老公,lao3gong1,chồng
老婆,lao3po2,vợ
丈夫,zhang4fu,chồng
妻子,qi1zi,thê tử
黑婆山,hei1po2shan1,Núi Bà Đen
西宁,xi1ning2,Tây Ninh
省,sheng3,tỉnh
西宁省,xi1ning2sheng3,Tỉnh Tây Ninh
去,qu4,đi
伯父,bo2fu4,( bá phụ ) bác trai
伯母,bo2mu3,( bá mẫu ) bác gái
姑母,gu1mu3,cô ruột ( cô mẫu )
婶婶,shen3shen,Thím
舅舅,jiu4jiu,cậu
舅妈,jiu4ma1,mợ
姐夫,jie3fu1,anh rể
嫂子,sao3zi,chị dâu
哥哥,ge1ge,anh trai
姐姐,jie3jie,chị gái
弟弟,di4di,em trai
妹妹,mei4mei,em gái
表,,biao3 + (哥/姐/弟/妹）:họ ngoại
堂,,tang2 +  (哥/姐/弟/妹）: họ nội
的,de,của
这,zhe4,"đây , này"
那,na4,"đó , kia"
这是,zhe4shi4,đây là
那是,na4shi4,đó là
谁,shui2/shei2,ai
他,ta1,he
她,ta1,she
它,ta1,it
饱,bao3,no
渴,ke3,khát
渴望,ke3wang4,khát vọng
希望,xi1wang4,hy vọng
失望,shi1wang4,thất vọng
什么,shen2me,"gì , cái gì"
打嗝,da3ge2,nấc cục
打,da3,( đả ) : đánh
打哈欠,da3ha1qian,ngáp
打呼噜,da3hu1lu(2),ngáy
打喷嚏,da3pen4ti,hắt xì
喷,pen4,xịt
嚏,ti1,nước mũi
别,bie2,đừng +V
明天,ming2tian1,ngày mai
明,ming2,Minh
聪明,cong1ming2,thông minh
日,ri4,"nhật , mặt trời ,ngày"
日本,ri4ben3,Nhật Bản
日本人,ri4ben3ren2,người Nhật Bản
月,yue4,"bộ Nguyệt ,nguyệt  ,mặt  trăng, tháng"
明白,ming2bai2,Minh bạch (hiểu)
懂,dong3,hiểu
天,tian1,ông trời ( thiên) / ngày
一,yi4,(nhất) số1
大,da4,"( đại ) to,lớn"
天啊,tian1  a1,trời ơi
老天,lao3tian1,ông  trời
老天爷,lao3tian1ye2,ông trời
老天啊老天,lao3tian1 a1lao3tian1,ông trời ơi ông trời
大哥,da4ge1,đại ca ( anh xã hội)/ anh cả
大姐,da4jie3,đại tỷ ( chị xã hội) /chị cả
大声,da4sheng1,lớn tiếng
小声,xiao3sheng1,nhỏ tiếng
小声一点儿,,xiao3sheng1 yi4dian3r
今天,jin1tian1,hôm nay
银行,yin2hang2,ngân hàng
银,yin2,(ngân ) bạc
银子,yin2zi,"bạc , ngân lượng"
卡,ka3,"thẻ,card"
银行卡,yin2hang2ka3,thẻ ngân hàng
账号,zhang4hao4,tài khoản
账户,zhang4hu4,tài khoản
转,zhuan3,chuyển
车,che1,xe
转钱,zhuan3qian2,chuyển tiền
转账,zhuan3zhang4,chuyển khoản
打钱,da3qian2,chuyển tiền
给,gei3,cho
啤酒,pi2jiu3,bia
酒,jiu3,( tửu ) rượu
酒量,jiu3liang4,tửu lượng
红酒,hong2jiu3,rượu vang
白酒,bai2jiu3,rượu trắng
米酒,mi3jiu3,rươu gạo
洋酒,yang2jiu3,rượu tây
得到,de2dao4,"đạt được ,chiếm dc"
得,de2,Đắc
得人心,de2ren2xin1,Đắc Nhân Tâm
头发,tou2fa,tóc
头,tou2,đầu
白头发,bai2tou2fa,tóc bạc (白发: bai2fa :tóc bạc)
头痛,tou2tong4,đau đầu
头疼,tou2teng2,đau đầu
现在,xian4zai4,"hiện tại ,bây giờ ,lúc này"
现金,xian4jin1,"hiện kim , tiền mặt"
付现金,fu4xian4jin1,trả tiền mặt
刷卡,shua1ka3,quẹt thẻ
刷,shua1,"cà ,chà,...."
还是,hai2shi4,hay là
坐,zuo4,ngồi
过去,guo4qu4,quá khứ
已经,yi3jing1,"đã ,đã từng"
未来,wei4lai2,tương lai
将来,jiang1lai2,tương lai
会,hui4,sẽ
