Hanzi,Pinyin chuẩn,Nghĩa tiếng Việt
母亲,mǔ qīn,"Mẫu thân , mẹ , má"
老妈,lǎo mā,"mẹ , má"
母老虎,mǔ lǎo hǔ,"cọp cái , cọp mẹ / chỉ người phụ nữ dữ"
爷爷,yé ye,ông nội ( gia gia )
奶奶,nǎi nai,bà nội
奶,nǎi,sữa
酸奶,suān nǎi,sữa chua
喝,hē,uống
外公,wài gong,( ngoại công ) ông ngoại
外婆,wài po,( ngoại bà ) Bà ngoại
外人,wài rén,người ngoài
外边,wài bian,bên ngoài
老公,lǎo gong,chồng
老婆,lǎo po,vợ
丈夫,zhàng fu,chồng
妻子,qī zi,thê tử
黑婆山,hēi po shān,Núi Bà Đen
西宁,xī níng,Tây Ninh
省,shěng,tỉnh
西宁省,xī níng shěng,Tỉnh Tây Ninh
去,qù,đi
伯父,bo fù,( bá phụ ) bác trai
伯母,bo mǔ,( bá mẫu ) bác gái
姑母,gū mǔ,cô ruột ( cô mẫu )
婶婶,shěn shen,Thím
舅舅,jiù jiu,cậu
舅妈,jiù mā,mợ
姐夫,jiě fū,anh rể
嫂子,sǎo zi,chị dâu
哥哥,gē ge,anh trai
姐姐,jiě jie,chị gái
弟弟,dì di,em trai
妹妹,mèi mei,em gái
表,,biao3 + (哥/姐/弟/妹）:họ ngoại
堂,,tang2 +  (哥/姐/弟/妹）: họ nội
的,de,của
这,zhè,"đây , này"
那,nà,"đó , kia"
这是,zhè shì,đây là
那是,nà shì,đó là
谁,shuí shéi,ai
他,tā,he
她,tā,she
它,tā,it
饱,bǎo,no
渴,kě,khát
渴望,kě wàng,khát vọng
希望,xī wàng,hy vọng
失望,shī wàng,thất vọng
什么,shén me,"gì , cái gì"
打嗝,dǎ gé,nấc cục
打,dǎ,( đả ) : đánh
打哈欠,dǎ hā qian,ngáp
打呼噜,dǎ hū lu,ngáy
打喷嚏,dǎ pèn ti,hắt xì
喷,pèn,xịt
嚏,tī,nước mũi
别,bié,đừng +V
明天,míng tiān,ngày mai
明,míng,Minh
聪明,cong míng,thông minh
日,rì,"nhật , mặt trời ,ngày"
日本,rì běn,Nhật Bản
日本人,rì běn rén,người Nhật Bản
月,yuè,"bộ Nguyệt ,nguyệt  ,mặt  trăng, tháng"
明白,míng bái,Minh bạch (hiểu)
懂,dong,hiểu
天,tiān,ông trời ( thiên) / ngày
一,yì,(nhất) số1
大,dà,"( đại ) to,lớn"
天啊,tiān ā,trời ơi
老天,lǎo tiān,ông  trời
老天爷,lǎo tiān yé,ông trời
老天啊老天,lǎo tiān ā lǎo tiān,ông trời ơi ông trời
大哥,dà gē,đại ca ( anh xã hội)/ anh cả
大姐,dà jiě,đại tỷ ( chị xã hội) /chị cả
大声,dà shēng,lớn tiếng
小声,xiǎo shēng,nhỏ tiếng
小声一点儿,,xiao3sheng1 yi4dian3r
今天,jīn tiān,hôm nay
银行,yín háng,ngân hàng
银,yín,(ngân ) bạc
银子,yín zi,"bạc , ngân lượng"
卡,kǎ,"thẻ,card"
银行卡,yín háng kǎ,thẻ ngân hàng
账号,zhàng hào,tài khoản
账户,zhàng hù,tài khoản
转,zhuǎn,chuyển
车,chē,xe
转钱,zhuǎn qián,chuyển tiền
转账,zhuǎn zhàng,chuyển khoản
打钱,dǎ qián,chuyển tiền
给,gěi,cho
啤酒,pí jiǔ,bia
酒,jiǔ,( tửu ) rượu
酒量,jiǔ liàng,tửu lượng
红酒,hong jiǔ,rượu vang
白酒,bái jiǔ,rượu trắng
米酒,mǐ jiǔ,rươu gạo
洋酒,yáng jiǔ,rượu tây
得到,dé dào,"đạt được ,chiếm dc"
得,dé,Đắc
得人心,dé rén xīn,Đắc Nhân Tâm
头发,tóu fa,tóc
头,tóu,đầu
白头发,bái tóu fa,tóc bạc (白发: bai2fa :tóc bạc)
头痛,tóu tong,đau đầu
头疼,tóu téng,đau đầu
现在,xiàn zài,"hiện tại ,bây giờ ,lúc này"
现金,xiàn jīn,"hiện kim , tiền mặt"
付现金,fù xiàn jīn,trả tiền mặt
刷卡,shuā kǎ,quẹt thẻ
刷,shuā,"cà ,chà,...."
还是,hái shì,hay là
坐,zùo,ngồi
过去,gùo qù,quá khứ
已经,yǐ jīng,"đã ,đã từng"
未来,wèi lái,tương lai
将来,jiāng lái,tương lai
会,huì,sẽ
知道,zhī dào,biết ( thông tin)
十,shí,10
百,bǎi,Bách (trăm)
千,qiān,"Ngàn , nghìn ( thiên)"
万,wàn,vạn (chục ngàn)
好吃,hǎo chī,ngon ( đồ ăn)
好喝,hǎo hē,ngon ( đồ uống)
可以,kě yǐ,"có thể ,được"
包饺子,bāo jiǎo zi,gói sủi cảo
米饭,mǐ fàn,"cơm,  cơm trắng"
白饭,bái fàn,cơm trắng
吃白饭,chī bái fàn,ăn ko ngồi  rồi
稀饭,xī fàn,cháo
白稀饭,bái xī fàn,Cháo trắng
粥,zhōu,cháo
白粥,bái zhōu,cháo trắng
糯米,nùo mǐ,Nếp
糯米饭,nùo mǐ fàn,xôi
面条,miàn tiáo,mì sợi
面,miàn,mì
条,tiáo,sợi
方便,fāng biàn,"tiện,tiện lợi"
方便面,fāng biàn miàn,"mì ăn liền,mì gói"
扌,,bộ thủ ( tay)
抱,bào,ôm (v)
拥抱,yong bào,"(v,n)cái ôm,ôm"
氵,,bộ 3 chấm thủy
泡,pào,"pha ,ngâm"
泡茶,pào chá,Pha trà
泡面,pào miàn,"(n,v) mì gói ,mì ăn liền, úp mì ,nấu mì"
蔬菜,shū cài,rau
艹,,bộ thảo
泡菜,pào cài,"kim chi, dưa muối"
泡妞,pào niū,tán gái
吃素,chī sù,ăn thanh đạm ( thuầnTV)
吃斋,chī zhāi,ăn chay
吃斋念佛,chī zhāi niàn fo,ăn chay niệm phật
吃斋念经,chī zhāi niàn jīng,ăn chay niệm kinh
肉,ròu,(nhục) thịt
扣肉,kòu ròu,khâu nhục
猪肉,zhū ròu,thịt heo
犭,,bộ khuyển
狗,gǒu,chó
猫,māo,mèo
牛肉,niú ròu,thịt bò
鸡肉,jī ròu,thịt gà
羊,yáng,dương  ( dê)
鸟,,bộ điểu /niao3/ : con chim
蛋,dàn,trứng
鸡蛋,jī dàn,trứng gà
鸭,yā,vịt
鸭蛋,yā dàn,thịt vịt
鸭肉,yā ròu,trứng vịt
鹅,é,ngỗng
鹅蛋,é dàn,trứng ngỗng
天鹅,tiān é,Thiên nga
天鹅肉,tiān é ròu,thịt thiên nga
蛤蟆,há má,con cóc
虫,,bộ trùng
想,xiǎng,"muốn,nhớ nghĩ"
疒,,"bộ nạch,bộ bệnh"
瘌,là,ghẻ
千里,qiān lǐ,ngàn dặm
鹅毛,é máo,lông ngỗng
万里,wàn lǐ,vặn dặm
万里长城,wàn lǐ cháng chéng,vạn lí trường thành
送,song,"(tống) tặng,tiễn ,đưa"
千里送鹅毛,,qian1li3song4e2mao2:
毛蛋,máo dàn,trứng lộn
咸,xián,mặn
咸蛋,xián dàn,trứng muối
咸鸭蛋,xián yà dàn,trứng vịt muối
鹌鹑蛋,ān chún dàn,trứng cút
鸵鸟,túo niǎo,đà điểu
鸵鸟蛋,túo niǎo dàn,trứng đà  điểu
溏心蛋,táng xīn dàn,trứng lòng đào
皮肤,pí fu,"da ,da dẻ"
皮蛋,pí dàn,trứng bắc thảo
河,hé,sông (Hà)
荷,hé,Hà ( bông sen)
莲荷花,lián hé huā,bông Liên Hà ( bông sen)
荷包蛋,hé bāo dàn,trứng ốp la
煎,jiān,chiên
腿,tuǐ,chân
鸡腿,jī tuǐ,đùi gà
鸡腿饭,jī tuǐ fàn,cơm đùi gà
鸡腿面,jī tuǐ miàn,mì đùi gà
翅膀,chī bǎng,cánh
羽,yǔ,cánh ( chim)
打羽毛球,dǎ yǔ máo qiú,đánh cầu lông
鸡翅膀,jī chī bǎng,cánh gà
鸭翅膀,yā chī bǎng,cánh vịt
爪,zhuǎ,bộ trảo
鸡爪,jī zhuǎ,chân gà
肠,cháng,( tràng) ruột
腊肠,là cháng,lạp xưởng
香肠,xiāng cháng,lạp xưởng
香,xiāng,( hương ) thơm
香水,xiāng shuǐ,nước hoa
打香水,dǎ xiāng shuǐ,xứt nước hoa
喷香水,pèn xiāng shuǐ,xịt nước hoa
火腿肠,hǔo tuǐ cháng,xúc xích
放松,fàng song,"thả lỏng, relax"
肉松,ròu song,chà bông
打火机,dǎ hǔo jī,bật lửa
锅,gūo,nồi
火锅,hǔo gūo,lẩu
锅巴,gūo ba,cơm cháy
烧烤,shāo kǎo,BBQ
烧,shāo,(v) đốt
发烧,fā shāo,"sốt ,bị sốt"
烧卖,shāo mài,xíu mại
烤,kǎo,nướng
北京烤鸭,běi jīng kǎo yā,Vịt quay Bắc Kinh
肯德基,kěn dé jī,KFC
麦当劳,mài dāng láo,Mc donal
热,rè,( nhiệt ) nóng
热狗,rè gǒu,hot dog
热情,rè qíng,Nhiệt tình
爱情,ài qíng,tình yêu
汉堡包,hàn bǎo bao,hamburger
三明治,sān míng zhì,sandwich
寿司,shòu sī,sushi
新鲜,xīn xiān,"tươi,tươi mới"
新,xīn,(tân) mới
鲜,xiān,tươi
海,hǎi,( hải ) biển
海鲜,hǎi xiān,hải  sản
鱼,yú,( ngư ) cá
美,měi,mỹ ( đẹp)
美人鱼,měi rén yú,mỹ nhân ngư
鳗鱼,mán yú,lươn (cá chình)
巴沙鱼,bā shā yú,cá ba sa
草,cǎo,( thảo) cỏ
草鱼,cǎo yú,cá trắm cỏ
鲶鱼,nián yú,cá trê
鲤鱼,lǐ yú,cá chép
石斑鱼,shí bān yú,cá bống mú
三文鱼,sān wén yú,cá hồi
骨,gǔ,cốt ( xương)
骨头,gǔ tóu,"cục xương, xương  ống  ( thịt)"
鱼刺,yú cì,xương cá
刺耳,cì ěr,chói tai
刺客,cì kè,thích khách
刺激,cì jī,"kích thích , hưng phấn"
虾,xià,tôm
虫子,chong zi,con sâu
毛毛虫,máo máo chong,sâu lông
龙,,long2( long ) rồng
龙虾,long xià,tôm hùm
螃蟹,páng xiē,cua
青蛙,qīng wā,ếch
青,qīng,thanh
螺,lúo,ốc
生蚝,shēng háo,con hào
蛤蜊,gé lí,con nghêu
隔离,gé lí,cách li
饮料,yǐn liào,"đồ uống,thức uống"
饮,yǐn,ẩm
饮食,yǐn shí,ẩm thực饣
饮酒,yǐn jiǔ,uống rượu ( thưởng thức )
汽,qì,"hơi ,gas"
汽水,qì shuǐ,nước có gas
可口可乐,kě kǒu kě lè,coca cola
百事,bǎi shì,pepsi
七喜,qī xǐ,7up
雪碧,xuě bì,sprite
美年达,měi nián dá,mirinda
斯汀,sī tīng,sting
红牛,hong niú,bò cụng
茶,chá,trà
绿茶,lǜ chá,trà xanh
红茶,hong chá,hồng trà
抹茶,mo chá,matcha
胃,wèi,(vị) bao tử
养,yǎng,dưỡng ( nuôi )
养胃,yǎng wèi,nuôi bao tử
胃痛,wèi tong,đau bao tử
胃疼,wèi téng,đau bao tử
包养,bāo yǎng,bao nuôi
保养,bǎo yǎng,bảo dưỡng
黑茶,hēi chá,trà đen
花茶,huā chá,trà hoa
黄茶,huáng chá,hoàng trà
白茶,bái chá,bạch trà
乌龙茶,wū long chá,trà ô long
普洱茶,pǔ ér chá,trà phổ nhĩ
铁观音茶,tiě guān yīn chá,trà thiết quan âm
观音佛,guān yīn fo,phật quan âm
菊花茶,jú huā chá,trà bông  cúc
茉莉茶,mo lì chá,trà hoa nhài
桃子,táo zi,trái đào
桃茶,táo chá,trà đào
荔枝,lì zhī,lệ chi
荔枝茶,lì zhī chá,trà vải
牛奶,niú nǎi,sữa bò
奶酪,nǎi lào,phô mai
芝士,zhī shì,phô mai
奶茶,nǎi chá,trà  sữa
奶油,nǎi yóu,"cream ,machiato"
炼乳,liàn rǔ,sữa đặc
油,yóu,dầu
油条,yóu tiáo,bánh quẩy
加,jiā,"thêm ,+"
加油,jiā yóu,thêm dầu /cố lên/đổ xăng
没,méi,hết
车没油,chē méi yóu,xe hết xăng rồi
站,zhàn,đứng /  trạm
加油站,jiā yóu zhàn,cây  xăng
站起来,zhàn qǐ lái,đứng lên
坐下来,zùo xià lái,ngồi xuống
火车站,hǔo chē zhàn,trạm xe lửa
加热,jiā rè,hâm  đồ ăn
热茶,rè chá,trà nóng
水,shuǐ,nước
冰,bīng,( băng )
冰块,bīng kuài,cục nước đá
加冰块,jiā bīng kuài,thêm nước đá
冰沙,bīng shā,sinh  tố
沙漠,shā mo,sa mạc
牛油果,niú yóu gǔo,trái bơ
人心果,rén xīn gǔo,trái saboche
水果,shuǐ gǔo,trái cây
果汁,gǔo zhī,nước ép trái cây
橙子,chéng zi,trái  cam
橙汁,chéng zhī,nước ép cam
甘蔗,gān zhe,mía
甘蔗汁,gān zhēzhi,nước mía
苦瓜,kǔ guā,khổ qua
苦瓜汁,kǔ guā zhī,nước ép  khổ qua
西瓜,xī guā,dưa hấu
南瓜,nán guā,bí đỏ
木瓜,mù guā,đu đủ
香瓜,xiāng guā,dưa gang
哈密瓜,hā mì guā,dưa lưới
冻,dong,đông
冰冻,bīng dong,đông lạnh
果冻,gǔo dong,"rau câu ,thạch"
巧克力,qiǎo kè lì,socola
可可,kě kě,ca cao
冰淇淋,bīng qí lín,kem
香草味,xiāng cǎo wèi,vị vani
未,wèi,vị ( lai ) 未来
矿泉水,kuàng quán shuǐ,"nước khoáng,nước suối"
矿,kuàng,Khoáng(sản)
石,,bộ thạch (đá )
泉,quán,(tuyền) suối
温泉,wēn quán,"ôn tuyền,suối nước nóng"
温水,wēn shuǐ,nước ấm
卖,mài,bán
最近,zuì jìn,gần đây
做生意,zùo shēng yì,"làm ăn , làm kinh doanh"
生意,shēng yì,"(n) chuyện kinh doanh ,việc làm ăn"
生,shēng,sinh
发生,,"fa1sheng1（v）: phát sinh,xảy ra"
生气,shēng qi,tức giận
学生,xué shēng,học sinh
生菜,shēng cài,xà lách
做饭,zùo fàn,nấu cơm
做菜,zùo cài,nấu đồ ăn
菜,cài,món ăn
日本菜,rì běn cài,món ăn Nhật
做爱,zùo ài,làm 18+
词典,cí diǎn,từ điển
生词,shēng cí,từ mới
荧光笔,yíng guāng bǐ,bút dạ quang
荧,yíng,huỳnh
光,guāng,quang
发光,fā guāng,phát quang
白月光,bái yuè guāng,Bạch Nguyệt  Quang
萤火虫,yíng hǔo chong,con đom đóm
改正笔,gāi zhèng bǐ,bút xóa
改,gǎi,"cải ,sửa"
改革,gǎi gé,cải cách
改变,gǎi biàn,cải biến ( thay đổi)
你变了,nǐ biàn le,bạn thay đổi rồi
正,zhèng,chính
橡胶,xiàng jiāo,cao su
橡皮,xiàng pí,cục tẩy
橡皮擦,xiàng pí cā,cục tẩy
擦,cā,"lau ,chùi 扌: bộ thủ"
香蕉,xiāng jiāo,trái chuối
圆规,yuán guī,compa
尺子,chǐ zi,cây thước
田,tián,( điền ) ruộng
电,diàn,điện
没电,méi diàn,"hết pin,hết điện"
脑子,nǎo zi,cái não
电脑,diàn nǎo,máy tính
脑子进水,nǎo zi jìn shuǐ,nhũng não
记,jì,"kí ,note =>记者: ji4zhe3: nhà báo ( kí  giả )"
日记,rì jì,nhật kí
笔记本,bǐ jì běn,note book ( vở có coong)
本子,běn zi,cuốn vở
笔记本电脑,bǐ jì běn diàn nǎo,laptop
平,píng,( bình )
平安,píng ān,Bình an
日日平安,,ri4ri4ping2an1:
天天平安,,tian1tian1ping2an1:
苹果,píng gǔo,trái táo
梨,lí,trái  lê
分,fēn,chia
分离,fēn lí,phân li
平板电脑,píng bǎn diàn nǎo,máy tính bảng
屏幕,píng mù,màn hình
分享,fēn xiǎng,share  （ chia sẻ)
老鼠,lǎo shǔ,chuột
老鼠爱大米,lǎo shǔ ài dà mǐ,chuột yêu gạo
键盘,jiàn pán,bàn phím
记得,jì dé,nhớ ( làm 1 cái gì đó) remember
中文,zhong wén,tiếng Trung
汉语,hàn yǔ,Tiếng Trung
转笔刀,zhuàn bǐ dāo,đồ gọt
刀,dāo,dao
水果刀,shuǐ gǔo dāo,dao gọt trái cây
作业,zùo yè,BTVN
写作业,xiě zùo yè,làm BTVN
做作业,zùo zùo yè,làm BTVN
作业本,zùo yè běn,Vở BTVN
笔袋,,bi3dai4:
袋子,dài zi,túi
袋鼠,dài shǔ,chuột túi
宝贝,bǎo bèi,bảo bối
真,zhēn,thật
天真,tiān zhēn,"chân thật , ngây thơ"
真的吗,,zhen1dema? Thiệt ko ?
少,shǎo,"ít, thiếu"
课本,kè běn,sách giáo  khoa
上,shàng,"Thượng ,trên"
上课,shàng kè,"lên lớp , đi học"
课,kè,tiết học
书,shū,sách
下,xià,"hạ ,dưới ,rơi,rớt"
下课,xià kè,tan học
安静,ān jìng,"yên tĩnh ( người, phong cảnh)"
她是安静的人,tā shì ān jìng de rén,"cô ấy là người hướng nội ,ít nói"
静悄悄,jìng qiāo qiāo,im phăng phắc
乱,luàn,"loạn,lộn xộn  , lung tung"
乱说,luàn shūo,nói lung tung
说话,shūo huà,nói chuyện
话,huà,( thoại ) lời nói
花,huā,bông hoa
甜话,tián huà,lời nói ngọt ngào
你真会说甜话,nǐ zhēn huì shūo tián huà,bạn thật biết nói lời ngọt ngào
跑,pǎo,chạy
跑步,pǎo bù,chạy bộ
床,chuáng,giường
起床,qǐ chuáng,thức dậy
天天,tiān tiān,ngày ngày
早,zǎo,sớm
早上,zǎo shàng,buổi sáng
早上好,zǎo shàng hǎo,chào buổi sáng
陪,péi,"đi cùng,cùng"
学校,xué xiào,trường học
北京,běi jīng,Bắc Kinh
里边,lǐ bian,bên trong
教学楼,jiào xué lóu,toà nhà dạy học
